,Unnamed: 0,HF,NB,TI,V,Eig_1,Eig_2,Eig_3,Negative Eigenvalues,proj0,proj1
1031,1031,0.2,0.1,0.05,0.65,-87355.46873134162,34275.83793448502,127223.9504136563,1,-0.4953476670096507,0.282189101115008
819,819,0.1,0.25,0.05,0.6,-86883.48624948152,12097.13408221319,130531.60272511543,1,-0.2831224796124767,0.21175849814843958
764,764,0.1,0.05,0.2,0.65,-86644.25139939263,51648.69636424521,98838.87755413823,1,-0.3542064475272733,0.49450762636192885
927,927,0.15,0.15,0.1,0.6,-85740.4771654616,19391.294514557096,68009.4381298779,1,-0.35392643397803264,0.28237577681450177
807,807,0.1,0.2,0.1,0.6,-84661.2386051099,14749.44809287135,72879.3199697779,1,-0.28321581746222363,0.2824691146642486
1018,1018,0.2,0.05,0.1,0.65,-83881.41326075676,58496.96905689658,101805.78394416715,1,-0.49544100485939757,0.352899717630817
914,914,0.15,0.1,0.15,0.6,-83156.74602003829,34748.81452460964,52772.02031564379,1,-0.35401977182777955,0.3530863933303107
794,794,0.1,0.15,0.15,0.6,-82580.04513040712,21598.109342097534,56613.246716523485,1,-0.2833091553119705,0.35317973118005763
951,951,0.15,0.25,0.05,0.55,-82302.54301329411,7931.297454871668,123505.6806948465,1,-0.2830291417627299,0.1410478816326306
641,641,0.05,0.15,0.05,0.75,-82028.82116250685,33470.72783045661,149476.6000165379,1,-0.42482372619333547,0.42370367199637293
1044,1044,0.2,0.15,0.05,0.6,-81999.71332203464,17860.787939454134,123078.1943289877,1,-0.4245437126440948,0.21157182244894582
831,831,0.1,0.3,0.05,0.55,-80655.3647186226,8959.919693073767,128340.63629553457,1,-0.21231852524692088,0.1411412194823775
626,626,0.05,0.1,0.1,0.75,-80552.96240031425,48344.72681465343,94166.50674497148,1,-0.4249170640430823,0.494414288512182
780,780,0.1,0.1,0.2,0.6,-80532.2881848999,38248.734475450015,51076.648679378646,1,-0.28340249316171734,0.42389034769586664
900,900,0.15,0.05,0.2,0.6,-80014.17706578385,42487.78062705897,96271.69617188832,1,-0.3541131096775264,0.4237970098461198
940,940,0.15,0.2,0.1,0.55,-80012.21454819663,10990.08011485036,65387.76285837193,1,-0.2831224796124768,0.21175849814843964
1032,1032,0.2,0.1,0.1,0.6,-79364.89658607193,32780.79352036461,66589.87965365307,1,-0.42463705049384165,0.28228243896475486
610,610,0.05,0.05,0.15,0.75,-79190.67556378501,79419.78749953743,105625.67627017526,1,-0.42501040189282924,0.565124905027991
820,820,0.1,0.25,0.1,0.55,-78394.92747360571,9912.179473169435,70633.58068804759,1,-0.21241186309666774,0.21185183599818652
765,765,0.1,0.05,0.25,0.6,-78196.31750750993,47707.90628154251,97884.79280828407,1,-0.28349583101146425,0.4946009642116757
928,928,0.15,0.15,0.15,0.55,-77725.19448198777,17969.910725106834,48793.60804148675,1,-0.2832158174622237,0.2824691146642487
962,962,0.15,0.3,0.05,0.5,-77242.41487283043,4506.771833993742,121327.5769360685,1,-0.21222518739717397,0.07043060296656839
1056,1056,0.2,0.2,0.05,0.55,-76943.90726184435,9635.550367961509,120270.33098476964,1,-0.35373975827853893,0.1409545437828837
1122,1122,0.25,0.05,0.05,0.65,-76415.63393868157,74577.77193246532,139597.7512343514,1,-0.5660582835254597,0.2820957632652611
808,808,0.1,0.2,0.15,0.55,-76379.99564145377,13021.311282928178,54378.03603470779,1,-0.21250520094641462,0.28256245251399553
